sure,sure_adi,tur
1,Fatiha,Mekki
2,Bakara,Medeni
3,Al-i İmran,Medeni
4,Nisa,Medeni
5,Maide,Medeni
6,En'am,Mekki
7,A'raf,Mekki
8,Enfal,Medeni
9,Tevbe,Medeni
10,Yunus,Mekki
11,Hud,Mekki
12,Yusuf,Mekki
13,Rad,Mekki
14,İbrahim,Mekki
15,Hicr,Mekki
16,Nahl,Mekki
17,İsra,Mekki
18,Kehf,Mekki
19,Meryem,Mekki
20,Taha,Mekki
21,Enbiya,Mekki
22,Hac,Medeni
23,Müminun,Mekki
24,Nur,Medeni
25,Furkan,Mekki
26,Şuara,Mekki
27,Neml,Mekki
28,Kasas,Mekki
29,Ankebut,Mekki
30,Rum,Mekki
31,Lokman,Mekki
32,Secde,Mekki
33,Ahzab,Medeni
34,Sebe,Mekki
35,Fatır,Mekki
36,Yasin,Mekki
37,Saffat,Mekki
38,Saad,Mekki
39,Zümer,Mekki
40,Mümin,Mekki
41,Fussilet,Mekki
42,Şura,Mekki
43,Zuhruf,Mekki
44,Duhan,Mekki
45,Casiye,Mekki
46,Ahkaf,Mekki
47,Muhammed,Medeni
48,Fetih,Medeni
49,Hucurat,Medeni
50,Kaf,Mekki
51,Zariyat,Mekki
52,Tur,Mekki
53,Necm,Mekki
54,Kamer,Mekki
55,Rahman,Mekki
56,Vakıa,Mekki
57,Hadid,Medeni
58,Mücadele,Medeni
59,Haşr,Medeni
60,Mümtehine,Medeni
61,Saff,Medeni
62,Cuma,Medeni
63,Münafikun,Medeni
64,Tegabün,Medeni
65,Talak,Medeni
66,Tahrim,Medeni
67,Mülk,Mekki
68,Kalem,Mekki
69,Hakka,Mekki
70,Me'aric,Mekki
71,Nuh,Mekki
72,Cin,Mekki
73,Müzzemmil,Mekki
74,Müddessir,Mekki
75,Kıyamet,Mekki
76,İnsan,Medeni
77,Mürselat,Mekki
78,Nebe,Mekki
79,Naziat,Mekki
80,Abese,Mekki
81,Tekvir,Mekki
82,İnfitar,Mekki
83,Mutaffifin,Mekki
84,İnşikak,Mekki
85,Buruc,Mekki
86,Tarik,Mekki
87,Ala,Mekki
88,Gaşiye,Mekki
89,Fecr,Mekki
90,Beled,Mekki
91,Şems,Mekki
92,Leyl,Mekki
93,Duha,Mekki
94,İnşirah,Mekki
95,Tin,Mekki
96,Alak,Mekki
97,Kadr,Mekki
98,Beyyine,Medeni
99,Zilzal,Medeni
100,Adiyat,Mekki
101,Karia,Mekki
102,Tekasür,Mekki
103,Asr,Mekki
104,Hümeze,Mekki
105,Fil,Mekki
106,Kureyş,Mekki
107,Maun,Mekki
108,Kevser,Mekki
109,Kafirun,Mekki
110,Nasr,Medeni
111,Leheb,Mekki
112,İhlas,Mekki
113,Felak,Mekki
114,Nas,Mekki
